El dia que me quieras,Baguette Quartette,Rendez Vous,Ti4v7b3xuuz6la3r4aoniem6erm
Libertango,Yo-Yo Ma,Soul of the Tango,Tb7ny62mq74v3equgolvufs3tca
It's Over,Gato Barbieri,Le Dernier Tango à Paris (La Bande Originale Du Film) (Edition Remasterisée),Ts6wjtndfkdbwyh33caxkikfesm
"Por Una Cabeza (From ""Scent of a Woman"")",Relaxing Instrumental Jazz Ensemble,Latin Romance,T7di3x2w55ksavf4ohttki4mdf4
La Violetera,Baguette Quartette,L'air de Paris,Tzqbynqmxidaaihx3rb6ldtzudi
"Vuelta, Pt. 2",Gato Barbieri,Last Tango in Paris (Original Motion Picture Soundtrack),Tzrykkkc6prhvbj6grxf4wr5lha
Noche de Ronda,Baguette Quartette,L'air de Paris,Theqysnirtu7yypakowxrfybnr4
Vuelvo Al Sur,Quadro Nuevo,Tango,Tbw3jayerxwj56gr2c5ots3apt4
La Paloma,Baguette Quartette,L'air de Paris,T5puzgfyfr6r2dedo73w5gz2pmy
Solamente una vez,Baguette Quartette,A La Noce,Teff37vichgv4lontewzd6wjevi
Vuelvo Al Sur,Trio Lumière,Lumière du tango,Tlufpiwmv2ynftzfjwvvznam7d4
Piazzolla: Libertango,Yo-Yo Ma,Classic Yo-Yo,Tekspsm4ozbpbx6hoehmwhqe2j4
Adios Nonino,Trio Lumière,Lumière du tango,Toe5hzapuf52het7ae3z45c2cdi
Libertango,Trio Lumière,Lumière du tango,Tlhuicgmjrxvlkvoixyme7dfxhi
Last tango in Paris,Gotan Project,La Revancha Del Tango,Tewtbr5igmumfal7ktiunkk5zvm
La Flor De Mi Secreto-Ay Amor,Bola De Nieve,Peliculas Españolas Famosas,T4ebr7kev5r6crwhedwotychcze
Drume Negrita,Bola de Nieve,La Magia Negra de Bola de Nieve,Tupneb2bzna3yrgyyprti3luegy
Vete De Mí,Bola de Nieve,Life Is To Whistle,T7hfoloqc3tfndytucbcuv4vq4y
Tú Me Acostumbraste,Los Tres Ases,Los Tres Ases 50 Años,Tyqzxqv4wtzb7stbq55tsxpao5e
Contigo en la Distancia,Los Tres Ases,Los Tres Ases,Trpgrbumm6qyesdmjag52t5cgw4
El Reloj,Los Tres Ases,Los Tres Ases 50 Años,Tlorktgbsh2l5qwgjlkqszv4cqy
Sabrá Dios,Los Tres Ases,Los Tres Ases 50 Años,Tu6tjpdmc4mglngzaeq3cqnqxlu
Corazón partío,Alejandro Sanz,Más Edición 2006,Tszafrp7ee5rzqsepj6zd4wdeci
Dos almas,Ibrahim Ferrer,Mi Sueño (Buena Vista Social Club Presents),Tiegeqgxwh3ibm23iwtsvo2jxaa
Perfidia,Ibrahim Ferrer,Mi Sueño (Buena Vista Social Club Presents),Txybmr6tsamxtfumcf3x2onagh4
"Quizás, Quizás",Ibrahim Ferrer,Mi Sueño (Buena Vista Social Club Presents),Tclkubdkmjtw44iojuls3wk4dc4
Alma Libre,Ibrahim Ferrer,Mi Sueño (Buena Vista Social Club Presents),Tw22vhftp77ldaexcijv4tzmv7m
Sabrás Que Te Quiero,Eydie Gormé,Eydie Gorme y los Panchos,Tu6oam7sgeqnrzy5mlvt5yxcyh4
