Your Love Is King (Remastered),Sade,The Ultimate Collection,Tvxln5i6wd5n5qyxubkgiirsqw4
Guilty,Barbra Streisand,Guilty,T3tvufivjiis4ebtn3dnvftezyi
How Deep Is Your Love,Bee Gees,Timeless - The All-Time Greatest Hits,Th76knvuj7ly5punhmpbmm5g7ku
Waiting in Vain,Bob Marley & The Wailers,Legend (Remastered),Tlqxdqmw7klburxtlgoyyxhgbim
Cigarettes And Chocolate Milk,Rufus Wainwright,Poses,Tizfp4zbnzxjgdxkpryfr55mkwy
True,Spandau Ballet,Gold - The Best Of Spandau Ballet,Tej56lo6xuw33wai6twec4ukryy
Let's Get It On,Marvin Gaye,Let's Get It On (Deluxe Edition),Tt36n2g7ycdcgd3hikz4ht4c3aa
Me and Mrs. Jones,Billy Paul,Between The Sheets - Volume 1,T4y7tr2rstogms42wexti5p2t2a
Last Tango in Paris - Ultimo Tango a Parigi (Titles),Gato Barbieri,Last Tango in Paris (Original Motion Picture Soundtrack) - Remastered,Th7z7zpy7x7hmhfqtwgrneiixxm
Before Today,Everything But The Girl,Walking Wounded,T2zyuqhqhvp5vsv5rrubcw767be
Protection (2006 Digital Remaster) (feat. Tracey Thorn),Massive Attack,Collected,Tdnxj37tw4m574bsruo35g4euqq
Sweet Love,Anita Baker,The Best Of Anita Baker,Tum5etkiett3lr766w7qk5f2gk4
Smooth Operator (Single Version),Sade,The Best Of Sade,Te3kskdybd3cjhdfjlnvwc6kzxi
I've Got You Under My Skin,Diana Krall,When I Look In Your Eyes,Tsyyxiir34agnvdpfga2ox7upuy
Don't Know Why,Norah Jones,Come Away With Me,Ttee742q7o4ljrnqotxhqapu5x4
Kiss on My List (Remastered),Daryl Hall & John Oates,Voices,Tfszg56dp3afot6jfrzrr3p4sie
Eye in the Sky (Remastered),The Alan Parsons Project,Platinum & Gold Collection,T3am662s32nsllnejoxxvpgtlum
Time,The Alan Parsons Project,The Turn Of A Friendly Card (Expanded Edition),Tauybgzs22w6izxr6b3ueieylty
You Sure Love To Ball,Marvin Gaye,Let's Get It On (Deluxe Edition),T75isumrgqlkthekt6dd4isjbmy
Every Breath You Take (Remastered 2003),The Police,Synchronicity (Remastered),Tbatvbpmlvid6iiq4cpczsokoii
You Make Me Feel Brand New (Bossa Version),Thata,Relaxing Bossa Lounge 2,T7nj6ubnrodh3wmpzjyz4lki7h4
In My Solitude,John Pizzarelli,Rockin' In Rhythm: A Tribute To Duke Ellington,Tccbhpz4r3qgwlg7mgcg5qxzszi
Easy,Commodores,Commodores,Tuzvqekjt2354zgni5hjtfd6jtu
More Than Words,Extreme,Extreme II: Pornograffitti (Deluxe),Tdtjgydaizm4m5zi7koyv5wj5lm
"My melancholy baby (feat. Ana Krüger, Carlos Badia, Nico Bueno & Mano Gomes)",Delicatessen,My Baby Just Cares For Me,Tszd4n7dkt6y2tjqoo356uepa3y
The Summer Wind,Madeleine Peyroux,Half The Perfect World,Tecc2ps74okfocbso5nlmtgc6ya
It's Too Late,Carole King,Tapestry,Txey5rq3uq2b22qyo4xs32bt7eq
If You Leave Me Now (Remastered),Chicago,Chicago X,T4lsibep5acwla5re5dbstb4ofm
For Your Babies (Live at Sydney Opera House),Simply Red,Farewell: Live in Concert at Sydney Opera House,Tan2wce53s4flc76dezsp5fkyzm
Stars (Live at Sydney Opera House),Simply Red,Farewell: Live in Concert at Sydney Opera House,T5tq5c3ntkvs6supz3kyujdgkqe
The Look of Love,Nina Simone,Silk & Soul,Tvnhtg5omtcuncjhznmqgu3v5hy
Hang On to Your Love (Remastered),Sade,The Ultimate Collection,Tdvsdq56k3hwjrjxlnx777tnjwy
One,U2,Achtung Baby,T3pffna3vcml2loczcvriofjbwy
"Para Mi Negra, Pt. 1",Gato Barbieri,Last Tango in Paris (Original Motion Picture Soundtrack),Twd62t2lvq46x3n3qxy6mwwc44q
The Look Of Love (Mono Version),Dusty Springfield,Complete A And B Sides 1963 - 1970,T6hnsszetiokj7byvx44jlozz3e
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
Your Song,Billy Paul,360 Degrees Of Billy Paul,T7ebkmyiowoyk7r6i62oarmk65e
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Just The Way You Are,Barry White,Love Songs,T3uiqhrvh6po6orljcbmi6zuwbm
"Love Theme (From ""Blade Runner"")",Vangelis,Blade Runner - Music From The Original Soundtrack,T26qwxvijeglslmr5drhmroytdm
Tenderly,Stacey Kent,Tenderly,Ts3qnqugxvpkrglcrcpg5igupda
Truth,Kamasi Washington,Harmony of Difference,T2zu7p2qn4ikninqm5f2dtujjv4
