Swings Sweetly Medley: But Not For Me / Skylark / The Nearness Of You / Moonlight Becomes You / Misty / Remind Me / Angel Eyes / Darrylyn / All The Things You Are / There Will Never Be Another You / What's New? / After You've Gone,Art Van Damme,Swings Sweetly Medley: But Not For Me / Skylark / The Nearness Of You / Moonlight Becomes You / Misty / Remind Me / Angel Eyes / Darrylyn / All The Things You Are / There Will Never Be Another You / What's New? / After You've Gone,Tdo32shnvgs763ibjslgowzwfs4
On Green Dolphin Street,Art Van Damme Quintet,Accordion a la mode,Tb3p2zzsyaljk7fcigl7agn4pzm
Satin Doll,Art Van Damme,Ecstasy,Tf2yiq3f3inybekg7kmz2krn7ze
Stella By Starlight,Art Van Damme Quintet,Manhattan Time: 1956,Tco4ojdbhnbojku7fvfpvqvoxti
So What's New,"Art Van Damme Quintet, The String Orchestra Hubert Deuringer & Willli Lehmann",Art Van Damme with Strings,Tbhokqt7iwzdkopprhsejqrwobm
Sweet Georgia Brown,Art Van Damme Quintet,On the Road,Tx5r3sevmhcg2zh7kv33kekkqnu
There Will Never Be Another You,Art Van Damme,Beyond the Sea,Tbbqhejosd7ge63kraisvmu3mni
Dough-Ra-Me,Lionel Hampton,"All Star Sessions, Volume 1: Open House",Tq5hz52qnkxhzqq4fgltbfkzyom
All the Things You Are,Lionel Hampton,"When We Were in Paris, Vol. 3: Lionel Hampton & His French New Sound",Tn2zwn7hofikstu4alikxpv2day
Alone Together,Paul Kuhn,Big Band Berlin,Tjihraoybcdtrb42ukzaozrwsfi
Autumn Leaves,Lionel Hampton,Mostly Ballads,Thw3yqyu2c65676kck7ae4edaia
Body and soul,Lionel Hampton,american swinging in paris,Tqwzjua7t24f7obfwqdj4uhlfwi
Baby Don't Love Me No More,Lionel Hampton,Hamp,T4wb7c6rkebq25noulfcc6h2h3q
Cherokee,Lionel Hampton,Tintinnabulation!,Tek25aa7agm3ypolruhucxnhw5i
Central Avenue Breakdown (feat. The King Cole Trio),Lionel Hampton,Boogie Woogie New York - Chicago (Doxy Collection),Tbmx4e3vtrczagu2466mgrripb4
Midnight Sun,Coleman Hawkins,Fly Me to the Moon (Doxy Jazz),Ta274x4wbfjmbn4dklmakk3wdce
Look! Four Hands,Lionel Hampton,The Fabulous Lionel Hampton And His All-Stars,Twmuxg6uk5km6mdwtsdjxy6iqsy
How High The Moon,Lionel Hampton,The Great 8,Tugup7e3lzsznzag6tfe4ylszqa
I Love You Porgy,Lionel Hampton,"Highlights of Lionel Hampton, Vol. 3",Toi4buv42nphpwa37242nxsxafq
Baby Won't You Please Come Home,Lionel Hampton & Orchestra,A Time To Remember 1938,Tc7esatqp2goqubzb3ysek2arwa
I'll Remember April,Lionel Hampton,The Platinum Collection - Lionel Hampton,T4vb5iahcsknknq4q64zdfvd7km
I've Got Feeling I'm Falling,Lionel Hampton,That Old Time Music Vol. 18,Tjxpefnafpexzdi4xw6hmmzqdxy
The Mood That I'm In,Lionel Hampton,Unforgettable Sentimental Songs,T6tgznm2szsf5xtipmk6bovhhi4
Misty,Lionel Hampton,Jazz Club Presents Charles Mingus - Lionel Hampton - Earl 'Fatha' Hines,Twxkczv2ubhtyh7egldgavvbla4
My Funny Valentine,Lionel Hampton,Golden Vibes + Silver Vibes,Tqygjkxtdmiqto675h7v52nkkjy
Night and Day,Lionel Hampton,"Highlights of Lionel Hampton, Vol. 2",T357f5e25pzbvh27l7vqosozexu
On Green Dolphin Street,Lionel Hampton,The Man I Love,Tdde7gv4t72gys3o5orllxi2zjm
Satin Doll,Lionel Hampton,Vibe Boogie Vol.4,Tgqtw7xqwq433v77bg2liv3sbya
Stella by Starlight (Remastered 2017),Slide Hampton,Remastered Hits (All Tracks Remastered),Tnmzg6fvqpibft6m6gw3h6iamra
Scrapple from the Apple,"Lionel Hampton, Stan Getz Quintet",Getz Meets Mulligan in Hi-fi (Original Album plus Bonus Tracks),T6rtnf7kcqtvy6imiuxb4tgu7w4
So what?,Hampton Slide Quartet,Jazz from Italy - Life music,Twxqixyyjqmppvt7wus24nfasgu
Solar (feat. Clifford Jordan),Slide Hampton Quintet,Roots,Tav7je4j2swcug2q72kih5mynq4
Saint Thomas,Lionel Hampton,Bossa Nova Jazz,Tjsltfeu4bjx5lbbvp3fnfkewfu
Sweet Georgia Brown,Lionel Hampton,"77 Vintage (Toulouse, France, 1977) [The Definitive Black & Blue Sessions]",T3angbi2bvckqnr6w2qgolsxxje
Take the 'A' Train,Lionel Hampton,Seven Come Eleven,Toeqwcff3t632z3436wywfio62e
The Girl from Ipanema (feat. Slide Hampton),Sacha Distel,Back to Jazz (feat. Slide Hampton),Tlx7did7bwzh7py5yvrwkwgwt4e
There will Never Be Another You,Lionel Hampton,Ridin' on the L&N,Tskfkeywlv6a4c2ch6oeycn253a
What is this Thing Called Love,Lionel Hampton,The Classic Years Vol 2,Tx54a6nckb4hjnmmo2kxiwfiyuq
Yesterday,Lionel Hampton,Big Bands Of The Swingin' Years: Lionel Hampton (Digitally Remastered),Te7jwfrhoyfd7ohqrgmeiseganu
