Oye Como Va,New Orleans Nightcrawlers,Live at the Old Point,Trdcqloep7hyygxpeuifp6imp3e
Night And Day,Joe Pass,Virtuoso (OJC Remaster),T7wbdwu6sykv7wah2ku3iepv65i
Mood Indigo (Remastered),Joe Pass,The Capitol Vaults Jazz Series,Tgz65osqtir2h6f2yobt37cbgue
I'll Never Be The Same,Joe Pass,Meditation,T5k7wz4o6s34l3fwkgc3aaghtya
Unforgettable,Joe Pass,Unforgettable,Tfugvu4aggkvrepqomzlcxx4kt4
You're Driving Me Crazy (Digitally Remastered),Joe Pass,The Best of Joe Pass- The Pacific Jazz Years,Tnk7ewoejacfugxytoclv4wgmwe
Laura,Joe Pass,I Remember Charlie Parker,Teudlawagm7qjwcscaappcxgewq
Satin Doll (Live In Hamburg),Ella Fitzgerald,Sophisticated Lady (Live),Tuvotkmv7ehblykac4e7xudhhxq
Wave,"Art van Damme & The Singers Unlimited with Sigi Schwab, Eberhard Weber, Heribert Thusek & Charly Antolini",Invitation,Thcxi7fr3rmopjmns4edz5y2iw4
I Get a Kick Out of You,Art van Damme,State of Art,Txrdjyyqpczrdbrnz7pfzzbbg54
Laura,Art Van Damme Quintet,Blue World,Trlijynuwe3wwwqhbcsdalqdsai
The Song Is You,Art Van Damme Quintet,Blue World,Td63y7cvhgratwgjzzurweirneu
In a Sentimental Mood,Bill Evans,In a Sentimental Mood,Thoiw7pudjynxkioyaswlptwbnm
"Medley: My Favorite Things / Easy To Love / Baubles, Bangles And Beads",Bill Evans,The Solo Sessions Volume 1,Tymbabmqmiqi5x6xthjulxyer7y
Stardust (1994 Remastered),Frank Sinatra,The Song Is You,Ta6jjnb547ado3vff2uenx3y32m
The Fable of the Rose (1994 Remastered),Frank Sinatra,The Song Is You,T2fmkrrtoyxe2v3sr5zaguoxpua
S'Wonderful,John Pizzarelli,All Of Me,Tndrxkatv33i5yrvrlng25j2x7m
Harvest Moon,John Pizzarelli,Double Exposure,Tvnc5r7x5snhhtc5a6ekeocarru
Odeon,Dick Hyman,In Recital (Live),Tzv7z36ocvs4ppkseh2lclhc3ym
Maple Leaf Rag,Dick Hyman,Scott Joplin Greatest Hits,Tb6nef2t3hwzjbicpobipl3jlzu
Tea for Two,Dick Hyman,Cocktail Piano Moods Volume 1,Tcl3jtjrblv65fqum4qmqa6j2gu
I've Got the World On A String,Dick Hyman,Blues In The Night: Dick Hyman Plays Harold Arlen,Tyx4l75bwdyoylceriha6idxody
Sophisticated Lady,Dick Hyman,Dick Hyman Plays Duke Ellington,Tji2ncutat2nrow273nty6fgcge
It's Only A Paper Moon,Dick Hyman,Blues In The Night: Dick Hyman Plays Harold Arlen,T5go6xtdpmiqx552t4ao4gnhble
Lullaby of Birdland,Heather Masse & Dick Hyman,Lock My Heart,Txo2thvc5erqmwk3xgodwv7pyci
What Is This Thing Called Love?,Dick Hyman,"Hyman, Dick: Live from Toronto's Cafe des Copains",Tkbnftjs73d5zhim3agpnul726i
A Child Is Born,Oscar Peterson,Christmas Jazz Collection,Tegqjx2sv6dsadnorg25uug3jkq
In the Still of the Night (Remastered),Billy Eckstine,Lady Luck,Tybewc5iolxfyvyzgvqwwnkquje
Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered],Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Ain't Misbehavin',Fats Waller,Last Testament: His Final Recordings,Tn2femkhvb5ohtuviup6zpprpmm
Honeysuckle Rose,Jane Monheit,Taking A Chance On Love,T5vfn3kuwwo5bku2cdlunhfursa
I've Got a Feeling I'm Falling,Dick Wellstood & His Friends of Fats With Jane Harvey,Fats Waller Revisited,Tagccjefkklisdf2n2x6tdbvr5q
I'm Gonna Sit Right Down and Write Myself a Letter (Remastered),Fats Waller & His Rhythm,The Essential Fats Waller,Tlnpyiiqp6rnqnfrtzyhvi4ldfa
I'm Crazy 'Bout My Baby (and My Baby's Crazy 'Bout Me) (Remastered 2000),Fats Waller,Fats Waller: Very Best of Fats Waller,Tvoh32ig7ipp5zytszbmiqjxkue
Ginza Samba,Vince Guaraldi,From All Sides (Remastered),T3vk7iangiqp7ro3e7kcabz7xre
Stardust,Charlie Christian,Complete Jazz Collection & Blues,Tbq2fvqpqfeqczpn6sy3mrzpnm4
Take the a Train,The Memphis Belle Orchestra,200 Jazz Standards,T6i2cruozusppwxncb3entfeuqa
Fly Me to the Moon,Les Elgart,Swingin' with Les,Te2estubiwrdswk7jjznxtwdjl4
If You Were Mine,Billie Holiday,Billie's Blues,T46nn2e5cpdrq7p2gk4wklaik54
Easy Living,Billie Holiday,Classic Hits Of Ella Fitzgerald & Billie Holiday,Ttx4h2ctwff5kpujvpholqk7lui
Night And Day,Billie Holiday,Billie's Blues,Tdqg43qugzckfszj7os6vdr57sa
I Must Have That Man,Billie Holiday,The Essential Collection (Digitally Remastered),T72iigd77lpeksclmfamz2ucgty
In the mood,Glenn Miller,30 greatest hits,T6jw2yvrhflltwlgid426brm7ka
(They Long to Be) Close To You - Reinterpretation Of The Erroll Garner Recording,Jazz Arts Trio,Tribute: Jazz Arts Trio,T5gf7mygx3h74aw5f4kavp55l4q
Penthouse Serenade,Erroll Garner,The Hot 50 - Erroll Garner (Fifty Classic Tracks),Tu3ysufg3ffjuvpcscwsl245xje
How High The Moon,Joe Pass,Virtuoso (OJC Remaster),Tijkp6b6ym3ptotlzwy6kwhpif4
What a Difference a Day Makes,Dinah Washington,The Great American Songbook,T5g3yyybkjqxcj3ztdce5fjrwuy
My Baby Just Cares for Me (My Baby Just Cares for Me),Nina Simone,Little Girl Blue (Remastered 2013),Tn2twah6jev6u7vuluyjjarzk3a
Cherokee,Joe Pass,Virtuoso (OJC Remaster),T2wnrwaeocw4vx26ob4klx5tmjy
Begin the Beguine,Artie Shaw,30 Greatest Hits,Tnts4jerbyltt2otfmmkapoeio4
"Introduction/Theme (""Moonlight Serenade)",Ed Herlihy & Glenn Miller,Glenn Miller And The Andrews Sisters: The Chesterfield Broadcasts,Tf5mpsvk4fhgohvpl76mk4bw5ju
Stardust,Artie Shaw,30 Greatest Hits,T5lls3lbzdja7v4hdjqdowfv2eq
"Para mi negra (From ""Last Tango in Paris"")",Gato Barbieri,"Chillout Soundtracks, Vol. 2",Tngl2iuhi7q6246tf6m5si2wx2q
Last Tango in Paris (Jazz),Gato Barbieri,Last Tango in Paris (Original Motion Picture Soundtrack) - Remastered,Tqjtx47zhv2it7qswbupj2kmqwm
Night and Day,Art Tatum,In Private,Twgydkgd4fqtkxdfspki4gurhum
